username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
YoungSavageRezi;2017-12-15 15:54;0;5;"Salat Club #SaudiMovieTitles";;;#SaudiMovieTitles;"941667675977138177";https://twitter.com/YoungSavageRezi/status/941667675977138177
Schizoid_mann;2017-12-15 15:30;1;19;"دیشب باباتو دیدم عایشه #SaudiMovieTitles";;;#SaudiMovieTitles;"941661775849754625";https://twitter.com/Schizoid_mann/status/941661775849754625
lunadonnellys;2017-12-15 15:26;0;0;"#SaudiMovieTitles This entire hashtag had me rolling on the floor pic.twitter.com/94LTvUlnH3";;;#SaudiMovieTitles;"941660675423789056";https://twitter.com/lunadonnellys/status/941660675423789056
salafi_writer;2017-12-15 14:10;0;0;"#SaudiMovieTitles - The Future King pic.twitter.com/Xak4VRrRUY";;;#SaudiMovieTitles;"941641539079598080";https://twitter.com/salafi_writer/status/941641539079598080
LIKESALSAL;2017-12-15 14:08;2;3;"The Mullah: An Unexpected Hadj #SaudiMovieTitles";;;#SaudiMovieTitles;"941641213026979842";https://twitter.com/LIKESALSAL/status/941641213026979842
HeIsCalledDani;2017-12-15 14:08;0;0;"Worldwide jihad Z #SaudiMovieTitles";;;#SaudiMovieTitles;"941641040393572352";https://twitter.com/HeIsCalledDani/status/941641040393572352
ShirZad69;2017-12-15 13:57;0;3;"Kill as'hab al fill #SaudiMovieTitles";;;#SaudiMovieTitles;"941638293996953605";https://twitter.com/ShirZad69/status/941638293996953605
ItsGreyinside;2017-12-15 13:54;0;9;"دیشب روزه بودم آیدا #SaudiMovieTitles https:// twitter.com/AwkwardMuslim/ status/940195644379160577 …";;;#SaudiMovieTitles;"941637590637334534";https://twitter.com/ItsGreyinside/status/941637590637334534
PandaArshi;2017-12-15 13:54;3;17;"The Sunni, the Shia and the Ibadi #SaudiMovieTitles";;;#SaudiMovieTitles;"941637518000361472";https://twitter.com/PandaArshi/status/941637518000361472
PandaArshi;2017-12-15 13:51;1;8;"Close Jihads of the third kind #SaudiMovieTitles";;;#SaudiMovieTitles;"941636878763257856";https://twitter.com/PandaArshi/status/941636878763257856
forte_true;2017-12-15 13:49;0;4;"Kissing usa ass #SaudiMovieTitles";;;#SaudiMovieTitles;"941636438638153728";https://twitter.com/forte_true/status/941636438638153728
Parsia_Bateman;2017-12-15 13:47;0;4;"#SaudiMovieTitles BinSalmansman: The Terror Circle Middle East wars: BinSalman awakens An Eid story (500) Days of Bombing";;;#SaudiMovieTitles;"941635927683817472";https://twitter.com/Parsia_Bateman/status/941635927683817472
TheOscaaar;2017-12-15 13:47;2;16;"این هشتگ عالیه پسر =))))))))))))))))))) #SaudiMovieTitles";;;#SaudiMovieTitles;"941635758544359425";https://twitter.com/TheOscaaar/status/941635758544359425
PandaArshi;2017-12-15 13:44;0;4;"Abdullah Kane #SaudiMovieTitles";;;#SaudiMovieTitles;"941635076877635584";https://twitter.com/PandaArshi/status/941635076877635584
samanamman;2017-12-15 13:43;1;2;"Saudiman Snowhard Me before hadj #SaudiMovieTitles";;;#SaudiMovieTitles;"941634878734589953";https://twitter.com/samanamman/status/941634878734589953
Parsia_Bateman;2017-12-15 13:35;1;18;"#SaudiMovieTitles فقط بريد اين هشتگ را بخونيد :)))) اصلا روح ادم شاد ميشه!";;;#SaudiMovieTitles;"941632850251669505";https://twitter.com/Parsia_Bateman/status/941632850251669505
mol_linternet;2017-12-15 12:19;0;0;"MBS Of Arabia #SaudiMovieTitles";;;#SaudiMovieTitles;"941613687131004929";https://twitter.com/mol_linternet/status/941613687131004929
pepsimayn;2017-12-15 12:14;1;0;"50 shades of abayas #SaudiMovieTitles";;;#SaudiMovieTitles;"941612509852729344";https://twitter.com/pepsimayn/status/941612509852729344
Lunas_za;2017-12-15 12:05;0;0;"الهاشتاق ناااااار #saudimovietitles";;;#saudimovietitles;"941610113760100352";https://twitter.com/Lunas_za/status/941610113760100352
yes_ur_MaMa;2017-12-15 11:34;0;0;"The Conjuring 3: Jinn Eclipse #SaudiMovieTitles";;;#SaudiMovieTitles;"941602456940658689";https://twitter.com/yes_ur_MaMa/status/941602456940658689
TimvdLei;2017-12-15 09:34;0;0;"Whiplash #SaudiMovieTitles";;;#SaudiMovieTitles;"941572079685652480";https://twitter.com/TimvdLei/status/941572079685652480
nevinni20;2017-12-15 09:28;0;2;"#SaudiMovieTitles the funniest hashtag ever";;;#SaudiMovieTitles;"941570648786300928";https://twitter.com/nevinni20/status/941570648786300928
Arsht4t;2017-12-15 08:39;0;1;"این هشتگه چه خوبه #saudimovietitles";;;#saudimovietitles;"941558286226247681";https://twitter.com/Arsht4t/status/941558286226247681
iFaisal_Juve;2017-12-15 07:54;1;1;"12 years of niqab #SaudiMovieTitles";;;#SaudiMovieTitles;"941547012956270592";https://twitter.com/iFaisal_Juve/status/941547012956270592
naive_ef;2017-12-15 07:29;0;5;"The Dark Sheikh Rises #SaudiMovieTitles";;;#SaudiMovieTitles;"941540714428628992";https://twitter.com/naive_ef/status/941540714428628992
thenextofken;2017-12-15 07:03;0;0;"#SaudiMovieTitles There's something about Mohammed.";;;#SaudiMovieTitles;"941534138968002560";https://twitter.com/thenextofken/status/941534138968002560
Kousha18;2017-12-15 06:29;0;0;"Kingdom of hell #SaudiMovieTitles";;;#SaudiMovieTitles;"941525678205304832";https://twitter.com/Kousha18/status/941525678205304832
saeedmahjoub;2017-12-15 06:25;0;0;"بهترين هشتك #SaudiMovieTitles";;;#SaudiMovieTitles;"941524578031034368";https://twitter.com/saeedmahjoub/status/941524578031034368
MustLast;2017-12-15 04:36;0;0;"The Gulfather. #SaudiMovieTitles";;;#SaudiMovieTitles;"941497080337584133";https://twitter.com/MustLast/status/941497080337584133
MustLast;2017-12-15 04:34;0;0;"The secret life of Camels. #SaudiMovieTitles";;;#SaudiMovieTitles;"941496623267532801";https://twitter.com/MustLast/status/941496623267532801
MustLast;2017-12-15 04:29;0;0;"Around the Mecca in 80 days. #SaudiMovieTitles";;;#SaudiMovieTitles;"941495518911500290";https://twitter.com/MustLast/status/941495518911500290
khalifa_shema;2017-12-15 03:35;11;25;"Sheikh jack sparrow :tales of munkar and nakir #SaudiMovieTitles";;;#SaudiMovieTitles;"941481743609204736";https://twitter.com/khalifa_shema/status/941481743609204736
khalifa_shema;2017-12-15 03:28;1;0;"Are we done yet?:stories of tarawih #SaudiMovieTitles";;;#SaudiMovieTitles;"941480114646372353";https://twitter.com/khalifa_shema/status/941480114646372353
AliM1810210;2017-12-15 02:27;0;1;"وای خدا #SaudiMovieTitles";;;#SaudiMovieTitles;"941464709915643904";https://twitter.com/AliM1810210/status/941464709915643904
zolishow;2017-12-15 02:05;0;4;"Desert Gump #SaudiMovieTitles";;;#SaudiMovieTitles;"941459058279796736";https://twitter.com/zolishow/status/941459058279796736
Rav3nH3art;2017-12-15 02:03;0;2;"Ahmed’s eleven #SaudiMovieTitles";;;#SaudiMovieTitles;"941458755341910016";https://twitter.com/Rav3nH3art/status/941458755341910016
zolishow;2017-12-15 01:59;0;4;"#SaudiMovieTitles scavengers: infinity war";;;#SaudiMovieTitles;"941457736402898944";https://twitter.com/zolishow/status/941457736402898944
sohail_th;2017-12-15 01:55;0;5;"#SaudiMovieTitles دوستان هشتگ فوق رو حتما دنبال کنید";;;#SaudiMovieTitles;"941456765903822848";https://twitter.com/sohail_th/status/941456765903822848
waseefakhtar;2017-12-15 01:44;1;2;"Final Exit #SaudiMovieTitles";;;#SaudiMovieTitles;"941453910547554304";https://twitter.com/waseefakhtar/status/941453910547554304
waseefakhtar;2017-12-15 01:41;1;1;"Expatriates: Age of Extinction #SaudiMovieTitles";;;#SaudiMovieTitles;"941453103680901122";https://twitter.com/waseefakhtar/status/941453103680901122
waseefakhtar;2017-12-15 01:39;1;2;"2030 #SaudiMovieTitles";;;#SaudiMovieTitles;"941452589631201286";https://twitter.com/waseefakhtar/status/941452589631201286
noisynoid;2017-12-15 01:30;0;6;"Once upon a time in Hejaz #SaudiMovieTitles";;;#SaudiMovieTitles;"941450321334800392";https://twitter.com/noisynoid/status/941450321334800392
noisynoid;2017-12-15 01:29;0;5;"Camel Wars: The Empire strikes #SaudiMovieTitles";;;#SaudiMovieTitles;"941450009287036929";https://twitter.com/noisynoid/status/941450009287036929
noisynoid;2017-12-15 01:26;0;7;"The good, the bad, the horny #SaudiMovieTitles";;;#SaudiMovieTitles;"941449328299855872";https://twitter.com/noisynoid/status/941449328299855872
